,contrast,dissimilarity,homogeneity,ASM,correlation,angle
fig1_0deg,47.017274047611096,3.9555315348402385,0.40439797391803134,0.011424492325395096,0.736569383466618,0.0
fig1_45deg,90.23187520910002,5.645123787219806,0.3524918152560007,0.009542564260099006,0.494435032415259,45.0
fig1_90deg,68.7647218396561,4.922544968907809,0.3714689192061124,0.01047087553437267,0.6147871307931353,90.0
fig1_135deg,88.1335020073603,5.566840916694547,0.3547872241455618,0.00961442989187185,0.5061934869905533,135.0
fig2_0deg,0.46217283641820917,0.3845660330165083,0.8153710267100043,0.0340272774078385,0.9861914736101248,0.0
fig2_45deg,9.524750869681965,2.348089502480105,0.3553960310847764,0.007694485386704591,0.7154392487584341,45.0
fig2_90deg,9.496228864432213,2.3429012006003,0.3563853608200647,0.007713545272479908,0.7162951574870818,90.0
fig2_135deg,9.533806673221553,2.3474355987398403,0.3558940027278116,0.00770251421898617,0.715168699700592,135.0
fig3_0deg,5.057518045386093,1.1716323934153812,0.6807828806358887,0.023356892164645402,0.8549192568819578,0.0
fig3_45deg,11.112908683881715,1.7400952728029988,0.6379453928284932,0.020672243393096416,0.6811895656023758,45.0
fig3_90deg,3.193202471828426,0.924884457599834,0.7106998158501758,0.02529993071995107,0.9083659012763291,90.0
fig3_135deg,0.8567979487713453,0.5035727301124531,0.7815533218835076,0.029549248254826466,0.9754197814705532,135.0
